series,not_national_statistic,label
SI_COV_MATNL,,Proportion of mothers with newborns receiving maternity cash benefit [1.3.1]
SI_COV_PENSN,,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
SI_COV_POOR,,Proportion of poor population receiving social assistance cash benefit [1.3.1]
SI_COV_SOCAST,,Proportion of population covered by social assistance programs [1.3.1]
SI_COV_SOCINS,,Proportion of population covered by social insurance programs [1.3.1]
SI_COV_UEMP,,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1]
SI_COV_VULN,,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1]
SI_COV_WKINJRY,,Proportion of employed population covered in the event of work injury [1.3.1]
SI_HEI_TOTL,,Growth rates of household expenditure or income per capita [10.1.1]
SI_POV_50MI,,Proportion of people living below 50 percent of median income [10.2.1]
SI_POV_DAY1,,Proportion of population below international poverty line [1.1.1]
SI_POV_NAHC,,Proportion of population living below the national poverty line [1.2.1]
SI_RMT_COST,,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1]
SL_DOM_TSPD,,Proportion of time spent on unpaid domestic chores and care work [5.4.1]
SL_DOM_TSPDCW,,Proportion of time spent on unpaid care work [5.4.1]
SL_DOM_TSPDDC,,Proportion of time spent on unpaid domestic chores [5.4.1]
SL_EMP_EARN,,Average hourly earnings [8.5.1]
SL_EMP_GTOTL,,Labour share of GDP [10.4.1]
SL_ISV_IFEM,,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
SL_ISV_IFEM_19ICLS,,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]"
SL_TLF_MANF,,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
SL_TLF_MANF_19ICLS,,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2]
SL_TLF_NEET,,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%) [8.6.1]"
SL_TLF_NEET_19ICLS,,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]"
SL_TLF_UEM,,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]"
SL_TLF_UEM_19ICLS,,"Unemployment rate, by sex and age - 19th ICLS (%) [8.5.2]"
SL_TLF_UEMDIS,,"Unemployment rate, by sex and disability - 13th ICLS (%) [8.5.2]"
SL_TLF_UEMDIS_19ICLS,,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]"
SN_ITK_DEFC,,Prevalence of undernourishment [2.1.1]
SN_ITK_DEFCN,,Number of undernourish people [2.1.1]
SN_STA_OVWGT,,Proportion of children moderately or severely overweight [2.2.2]
SN_STA_OVWGTN,,Children moderately or severely overweight (number) [2.2.2]
SP_ACS_BSRVH2O,,Proportion of population using basic drinking water services [1.4.1]
SP_ACS_BSRVSAN,,Proportion of population using basic sanitation services [1.4.1]
SP_DYN_ADKL,,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]"
SP_DYN_MRBF15,,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1]
SP_DYN_MRBF18,,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1]
ST_EMP_TRSMN,,Employed persons in the tourism industries (number) [8.9.2]
ST_GDP_ZS,,Tourism direct GDP as a proportion of total GDP [8.9.1]
VC_PRR_PHY_VIO,,"Police reporting rate for physical violence in the previous 12 months, by sex (%) [16.3.1]"
VC_PRR_PHYV,,"Police reporting rate for physical assault in the previous 12 months, by sex (%) [16.3.1]"
VC_PRR_ROBB,,"Police reporting rate for robbery in the previous 12 months, by sex (%) [16.3.1]"
VC_VAW_MARR,,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1]
VC_VAW_NONMARR,,Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months [5.2.2]
VC_VOV_PHY_ASLT,,"Proportion of population subjected to physical assault in the previous 12 months, by sex (%) [16.1.3]"
VC_VOV_PHYL,,Proportion of population subjected to physical violence in the previous 12 months [16.1.3]
VC_VOV_ROBB,,Proportion of population subjected to robbery in the previous 12 months [16.1.3]
